Run,Optimizer,LR,Batch Size,Dropout,Batch Norm,Final Accuracy
1,SGD,0.01,32,True,False,85.36%
2,SGD,0.01,32,True,True,87.61%
3,SGD,0.01,32,False,False,85.16%
4,SGD,0.01,32,False,True,87.50%
5,SGD,0.01,64,True,False,85.55%
6,SGD,0.01,64,True,True,87.94%
7,SGD,0.01,64,False,False,87.34%
8,SGD,0.01,64,False,True,87.95%
9,SGD,0.01,128,True,False,84.92%
10,SGD,0.01,128,True,True,88.19%
11,SGD,0.01,128,False,False,87.26%
12,SGD,0.01,128,False,True,88.11%
13,SGD,0.001,32,True,False,86.66%
14,SGD,0.001,32,True,True,87.79%
15,SGD,0.001,32,False,False,86.95%
16,SGD,0.001,32,False,True,88.43%
17,SGD,0.001,64,True,False,85.58%
18,SGD,0.001,64,True,True,87.46%
19,SGD,0.001,64,False,False,83.32%
20,SGD,0.001,64,False,True,87.47%
21,SGD,0.001,128,True,False,79.40%
22,SGD,0.001,128,True,True,85.67%
23,SGD,0.001,128,False,False,79.99%
24,SGD,0.001,128,False,True,86.44%
25,SGD,0.0001,32,True,False,24.54%
26,SGD,0.0001,32,True,True,86.11%
27,SGD,0.0001,32,False,False,24.83%
28,SGD,0.0001,32,False,True,84.80%
29,SGD,0.0001,64,True,False,25.13%
30,SGD,0.0001,64,True,True,84.73%
31,SGD,0.0001,64,False,False,23.44%
32,SGD,0.0001,64,False,True,82.91%
33,SGD,0.0001,128,True,False,10.00%
34,SGD,0.0001,128,True,True,80.48%
35,SGD,0.0001,128,False,False,10.00%
36,SGD,0.0001,128,False,True,83.54%
