Run,Optimizer,LR,Batch Size,Dropout,Batch Norm,Final Accuracy
1,ADAM,0.01,32,True,False,10.00%
2,ADAM,0.01,32,True,True,19.51%
3,ADAM,0.01,32,False,False,10.00%
4,ADAM,0.01,32,False,True,55.85%
5,ADAM,0.01,64,True,False,10.01%
6,ADAM,0.01,64,True,True,32.06%
7,ADAM,0.01,64,False,False,10.00%
8,ADAM,0.01,64,False,True,22.50%
9,ADAM,0.01,128,True,False,10.00%
10,ADAM,0.01,128,True,True,10.03%
11,ADAM,0.01,128,False,False,10.00%
12,ADAM,0.01,128,False,True,23.90%
13,ADAM,0.001,32,True,False,73.37%
14,ADAM,0.001,32,True,True,83.49%
15,ADAM,0.001,32,False,False,76.56%
16,ADAM,0.001,32,False,True,83.47%
17,ADAM,0.001,64,True,False,75.94%
18,ADAM,0.001,64,True,True,83.85%
19,ADAM,0.001,64,False,False,80.38%
20,ADAM,0.001,64,False,True,85.36%
21,ADAM,0.001,128,True,False,80.18%
22,ADAM,0.001,128,True,True,86.26%
23,ADAM,0.001,128,False,False,80.43%
24,ADAM,0.001,128,False,True,86.95%
25,ADAM,0.0001,32,True,False,85.16%
26,ADAM,0.0001,32,True,True,88.14%
27,ADAM,0.0001,32,False,False,85.55%
28,ADAM,0.0001,32,False,True,86.99%
29,ADAM,0.0001,64,True,False,85.95%
30,ADAM,0.0001,64,True,True,87.76%
31,ADAM,0.0001,64,False,False,85.64%
32,ADAM,0.0001,64,False,True,87.32%
33,ADAM,0.0001,128,True,False,85.29%
34,ADAM,0.0001,128,True,True,87.60%
35,ADAM,0.0001,128,False,False,86.06%
36,ADAM,0.0001,128,False,True,87.16%
