Run,Optimizer,LR,Batch Size,Dropout,Batch Norm,Final Accuracy
1,RMSPROP,0.01,32,True,False,13.36%
2,RMSPROP,0.01,32,True,True,11.58%
3,RMSPROP,0.01,32,False,False,13.28%
4,RMSPROP,0.01,32,False,True,13.72%
5,RMSPROP,0.01,64,True,False,11.04%
6,RMSPROP,0.01,64,True,True,10.75%
7,RMSPROP,0.01,64,False,False,13.54%
8,RMSPROP,0.01,64,False,True,15.62%
9,RMSPROP,0.01,128,True,False,10.00%
10,RMSPROP,0.01,128,True,True,15.51%
11,RMSPROP,0.01,128,False,False,10.03%
12,RMSPROP,0.01,128,False,True,17.89%
13,RMSPROP,0.001,32,True,False,75.37%
14,RMSPROP,0.001,32,True,True,84.63%
15,RMSPROP,0.001,32,False,False,76.81%
16,RMSPROP,0.001,32,False,True,84.55%
17,RMSPROP,0.001,64,True,False,75.88%
18,RMSPROP,0.001,64,True,True,84.55%
19,RMSPROP,0.001,64,False,False,74.45%
20,RMSPROP,0.001,64,False,True,84.67%
21,RMSPROP,0.001,128,True,False,80.30%
22,RMSPROP,0.001,128,True,True,83.99%
23,RMSPROP,0.001,128,False,False,81.06%
24,RMSPROP,0.001,128,False,True,86.06%
25,RMSPROP,0.0001,32,True,False,85.16%
26,RMSPROP,0.0001,32,True,True,86.95%
27,RMSPROP,0.0001,32,False,False,85.84%
28,RMSPROP,0.0001,32,False,True,84.42%
29,RMSPROP,0.0001,64,True,False,84.26%
30,RMSPROP,0.0001,64,True,True,86.34%
31,RMSPROP,0.0001,64,False,False,84.64%
32,RMSPROP,0.0001,64,False,True,86.78%
33,RMSPROP,0.0001,128,True,False,82.64%
34,RMSPROP,0.0001,128,True,True,87.50%
35,RMSPROP,0.0001,128,False,False,83.72%
36,RMSPROP,0.0001,128,False,True,85.92%
